Geneid,Chr,Start,End,Strand,Length
YDR509W,IV,1468226,1468573,+,348
YDL193W,IV,114672,115799,+,1128
YDL137W,IV,216529,217074,+,546
YDL118W,IV,247302,247682,+,381
YDR235W,IV,933504,935138,+,1635
YDR233C,IV,929470,930357,-,888
YDR388W,IV,1250186,1251634,+,1449
YDR209C,IV,871036,871449,-,414
YDR049W,IV,553254,555152,+,1899
YDL194W,IV,111580,114234,+,2655
YDR021W,IV,486804,488003,+,1200
YDR353W,IV,1183299,1184258,+,960
YDR051C,IV,557056,558060,-,1005
YDR288W,IV,1037195,1038106,+,912
YDR141C,IV,734901,739997,-,5097
YDR194C,IV,845952,847946,-,1995
YDR424C,IV,1319387,1319841,-,455
YDR054C,IV,561440,562327,-,888
YDR122W,IV,694700,697894,+,3195
YDR184C,IV,830629,831513,-,885
YDR183C-A,IV,830397,830654,-,258
YDL240W,IV,22823,25876,+,3054
YDR056C,IV,565023,565640,-,618
YDR541C,IV,1519664,1520698,-,1035
YDL042C,IV,376757,378445,-,1689
YDR185C,IV,831934,832473,-,540
YDR328C,IV,1125434,1126018,-,585
YDR280W,IV,1020747,1021664,+,918
tV(UAC)D,IV,488797,488870,-,74
YDR098C,IV,644178,644930,-,753
YDR005C,IV,456836,458103,-,1268
YDR423C,IV,1318046,1319275,-,1230
YDR017C,IV,479115,482267,-,3153
YDR419W,IV,1303174,1305072,+,1899
YDR444W,IV,1350290,1352353,+,2064
YDR341C,IV,1151803,1153626,-,1824
YDR154C,IV,768403,768753,-,351
YDR464W,IV,1388872,1393179,+,4308
YDR132C,IV,718816,720303,-,1488
YDL210W,IV,84270,85985,+,1716
YDR395W,IV,1263324,1266158,+,2835
YDL222C,IV,60872,61801,-,930
YDR372C,IV,1221112,1222149,-,1038
YDR325W,IV,1117126,1120233,+,3108
YDR216W,IV,895035,899006,+,3972
YDR082W,IV,610441,611925,+,1485
YDL224C,IV,54397,56346,-,1950
YDR498C,IV,1445843,1446994,-,1152
YDR010C,IV,465051,465383,-,333
YDR006C,IV,458542,461247,-,2706
YDR182W,IV,827582,829057,+,1476
YDL102W,IV,276872,280165,+,3294
YDL179W,IV,138291,139205,+,915
YDL067C,IV,334217,334396,-,180
YDR030C,IV,501753,503273,-,1521
YDR020C,IV,485746,486444,-,699
YDR527W,IV,1491094,1492413,+,1320
YDR333C,IV,1133260,1135431,-,2172
YDL093W,IV,289909,292140,+,2232
YDL043C,IV,375680,376480,-,801
YDR139C,IV,733618,733924,-,307
YDR322C-A,IV,1112003,1112293,-,291
YDL130W-A,IV,229171,229431,+,261
YDR210W,IV,871074,871301,+,228
YDR260C,IV,976717,977229,-,513
YDL017W,IV,424209,425732,+,1524
YDR073W,IV,592439,592948,+,510
YDL069C,IV,333121,333810,-,690
YDR455C,IV,1367373,1367681,-,309
YDR461W,IV,1385176,1385286,+,111
YDR435C,IV,1332983,1333969,-,987
YDL063C,IV,338272,340134,-,1863
YDR121W,IV,693585,694175,+,591
YDR178W,IV,817950,818495,+,546
YDL013W,IV,429067,430926,+,1860
YDR534C,IV,1503314,1504900,-,1587
YDR392W,IV,1258696,1259709,+,1014
YDR034C-A,IV,520516,520692,-,177
YDL132W,IV,224304,226751,+,2448
YDR535C,IV,1506606,1507362,-,757
YDR202C,IV,856898,857953,-,1056
YDL050C,IV,364446,364817,-,372
YDR524C-A,IV,1489871,1489990,-,120
YDL109C,IV,265258,267201,-,1944
YDR211W,IV,884727,886865,+,2139
YDR110W,IV,676102,677802,+,1701
tG(CCC)D,IV,1257008,1257079,-,72
YDR274C,IV,1011589,1011960,-,372
YDR167W,IV,789449,790069,+,621
YDR156W,IV,769525,769938,+,414
YDL223C,IV,57265,60405,-,3141
YDR075W,IV,597156,598082,+,927
YDR039C,IV,531307,534582,-,3276
YDL088C,IV,298417,300003,-,1587
YDL129W,IV,231024,231899,+,876
YDL215C,IV,70640,73918,-,3279
YDR297W,IV,1056551,1057600,+,1050
YDR131C,IV,716790,718460,-,1671
YDR230W,IV,926223,926570,+,348
YDR348C,IV,1170326,1171825,-,1500
YDL169C,IV,158064,158735,-,672
YDR007W,IV,461842,462516,+,675
YDL195W,IV,107208,111029,+,3822
YDR263C,IV,994242,995534,-,1293
YDR220C,IV,907000,907293,-,294
YDR429C,IV,1324477,1325301,-,825
YDR119W-A,IV,691014,691214,+,201
YDR421W,IV,1312040,1314892,+,2853
YDL186W,IV,125616,126449,+,834
YDL198C,IV,103649,104551,-,903
YDL120W,IV,245923,246447,+,525
YDR379W,IV,1230167,1233196,+,3030
YDL029W,IV,399340,400638,+,1299
YDR205W,IV,859346,861520,+,2175
YDR094W,IV,635840,636175,+,336
YDR369C,IV,1215016,1217580,-,2565
YDR088C,IV,618497,619645,-,1149
YDR411C,IV,1293369,1294394,-,1026
YDR441C,IV,1344517,1345062,-,546
YDR446W,IV,1353725,1354633,+,909
YDL183C,IV,130871,131833,-,963
YDR194W-A,IV,848071,848223,+,153
YDR114C,IV,681924,682226,-,303
YDR442W,IV,1345647,1346039,+,393
tK(CUU)D2,IV,1352466,1352538,-,73
YDL059C,IV,344237,344953,-,717
YDR016C,IV,478474,478758,-,285
YDR430C,IV,1325501,1328470,-,2970
YDR366C,IV,1212438,1212836,-,399
YDR374W-A,IV,1224757,1225026,+,270
YDR293C,IV,1045640,1049392,-,3753
YDR459C,IV,1382319,1383443,-,1125
YDR022C,IV,488072,488662,-,591
YDR217C,IV,899551,903480,-,3930
YDR052C,IV,558511,560625,-,2115
YDL027C,IV,403695,404957,-,1263
YDR104C,IV,661173,664910,-,3738
YDL136W,IV,217600,218367,+,768
YDR248C,IV,957758,958339,-,582
YDR078C,IV,602198,602869,-,672
YDR068W,IV,583713,584645,+,933
YDL080C,IV,310642,312471,-,1830
YDR461C-A,IV,1385524,1385766,-,243
YDR252W,IV,963412,963861,+,450
YDL046W,IV,371240,371761,+,522
YDR540C,IV,1517136,1517675,-,540
YDR181C,IV,825910,827355,-,1446
YDL200C,IV,100501,101067,-,567
YDR108W,IV,671269,673365,+,2097
YDR337W,IV,1146319,1147179,+,861
YDR356W,IV,1186107,1188941,+,2835
YDL235C,IV,33415,33918,-,504
YDR320W-B,IV,1108484,1108621,+,138
YDL245C,IV,11657,13360,-,1704
YDR170W-A,IV,803195,804517,+,1323
YDR210W-B,IV,872112,877425,+,5314
YDR210C-D,IV,878659,883927,-,5269
YDR316W-B,IV,1096064,1101332,+,5269
YDR261C-D,IV,987534,992349,-,4816
YDR210C-C,IV,882605,883927,-,1323
YDR261C-C,IV,991027,992349,-,1323
YDR261W-B,IV,981462,986775,+,5314
YDR365W-A,IV,1206997,1208319,+,1323
YDR316W-A,IV,1096064,1097386,+,1323
YDR261W-A,IV,981462,982778,+,1317
YDR365W-B,IV,1206997,1212265,+,5269
YDR098C-B,IV,645858,651126,-,5269
YDR098C-A,IV,649804,651126,-,1323
YDR210W-A,IV,872112,873428,+,1317
YDR034C-D,IV,514043,519356,-,5314
YDR034C-C,IV,518040,519356,-,1317
YIR015W,IX,381948,382382,+,435
YIL156W-A,IX,47292,47693,+,402
YIL115W-A,IX,144268,144639,+,372
YIL086C,IX,200153,200461,-,309
YIL156W-B,IX,47690,47973,+,284
tT(AGU)I2,IX,325748,325820,+,73
YIL146C,IX,74184,75773,-,1590
YIL010W,IX,334882,335529,+,648
YIL117C,IX,140613,141569,-,957
YIL050W,IX,258913,259770,+,858
YIL107C,IX,163278,165761,-,2484
YIL150C,IX,61013,62728,-,1716
YIL165C,IX,33718,34077,-,360
YIL045W,IX,271161,272777,+,1617
YIL126W,IX,117992,122071,+,4080
YIL158W,IX,46201,46815,+,615
YIR018W,IX,384609,385346,+,738
YIR039C,IX,430498,432111,-,1614
YIL082W,IX,205635,206507,+,873
YIL056W,IX,249991,251913,+,1923
YIL161W,IX,39433,40140,+,708
tS(UGA)I,IX,248850,248931,+,82
YIL119C,IX,136654,137877,-,1224
YIL016W,IX,321454,321933,+,480
YIL144W,IX,78074,80149,+,2076
YIL026C,IX,304477,307929,-,3453
tD(GUC)I1,IX,324303,324374,-,72
YIL163C,IX,36899,37252,-,354
YIL139C,IX,87979,88716,-,738
YIL171W,IX,19515,19844,+,330
YIL068C,IX,233057,235474,-,2418
YIL065C,IX,241308,241775,-,468
YIL098C,IX,179772,180239,-,468
YIL141W,IX,85053,85442,+,390
YIL009W,IX,339344,341428,+,2085
YIR021W-A,IX,398514,398726,+,213
YIR020C-B,IX,397215,397949,-,735
YIL044C,IX,272950,273846,-,897
YIR020W-A,IX,394917,395159,+,243
YIR004W,IX,363221,364519,+,1299
YIL092W,IX,189066,190967,+,1902
tD(GUC)I2,IX,336349,336420,-,72
YIL136W,IX,93619,94800,+,1182
YIR022W,IX,398733,399236,+,504
YIL002W-A,IX,350301,350510,+,210
YIL066W-A,IX,237366,237809,+,444
YIL133C,IX,98527,99416,-,890
YIL123W,IX,128151,129581,+,1431
YIR001C,IX,356143,356895,-,753
YIL153W,IX,55198,56379,+,1182
YIR002C,IX,357415,360396,-,2982
YIL108W,IX,160887,162977,+,2091
YIR023C-A,IX,402383,402706,-,324
YIL067C,IX,235724,237760,-,2037
YIR019C,IX,389572,393675,-,4104
YIL028W,IX,302100,302498,+,399
YIL134W,IX,97395,98330,+,936
YIL159W,IX,41825,45952,+,4128
YIL011W,IX,333727,334536,+,810
YIL110W,IX,156045,157178,+,1134
YIL131C,IX,100781,102235,-,1455
YIL128W,IX,113806,116904,+,3099
YIL064W,IX,241943,242716,+,774
YIL071C,IX,228660,229994,-,1335
YIL147C,IX,69791,73453,-,3663
YIL149C,IX,63028,68067,-,5040
YIL106W,IX,166415,167444,+,1030
YIL005W,IX,345692,347797,+,2106
YIL169C,IX,23119,26106,-,2988
YIL004C,IX,347946,348505,-,560
YIR014W,IX,381086,381814,+,729
tE(CUC)I,IX,197592,197663,+,72
YIR033W,IX,416124,419465,+,3342
YIL105C,IX,167581,169641,-,2061
YIL057C,IX,247902,248396,-,495
YIL017C,IX,318200,320965,-,2766
YIL132C,IX,99860,100501,-,642
YIL070C,IX,230272,231072,-,801
YIL051C,IX,257843,258280,-,438
YIL118W,IX,139752,140447,+,696
YIL097W,IX,180427,181977,+,1551
YIR034C,IX,419615,420736,-,1122
YIL109C,IX,157385,160165,-,2781
YIL102C-A,IX,173365,173592,-,228
YIL105W-A,IX,167664,167804,+,141
YIL084C,IX,202276,203259,-,984
YIL039W,IX,278426,279847,+,1422
YIR003W,IX,360885,362924,+,2040
YIR031C,IX,413015,414679,-,1665
YIL074C,IX,221081,222490,-,1410
YIL022W,IX,311165,312460,+,1296
YIL030C,IX,296050,300009,-,3960
YIL140W,IX,85366,87837,+,2472
YIL031W,IX,292633,295737,+,3105
YIL014W,IX,326103,327995,+,1893
YIL137C,IX,89948,92788,-,2841
YIR037W,IX,423128,423619,+,492
YIL127C,IX,117024,117644,-,621
YIL143C,IX,80510,83041,-,2532
YIL079C,IX,210923,212005,-,1083
YIR008C,IX,373077,374306,-,1230
YIL040W,IX,277723,278139,+,417
YIL129C,IX,106107,113237,-,7131
YIL100C-A,IX,177343,177681,-,339
YIL124W,IX,126204,127097,+,894
YIL042C,IX,275108,276292,-,1185
YIL115C,IX,144327,148709,-,4383
YIL035C,IX,287790,288908,-,1119
YIL176C,IX,8793,9155,-,363
YIL006W,IX,344062,345183,+,1122
YIL048W,IX,261437,264892,+,3456
YIL066C,IX,238099,240708,-,2610
YIR029W,IX,410807,411838,+,1032
YIR018C-A,IX,385564,385701,-,138
YIL094C,IX,186517,187632,-,1116
YIL103W,IX,171751,173028,+,1278
YIL155C,IX,51759,53708,-,1950
YIL152W,IX,56545,57252,+,708
YIL046W-A,IX,268309,268473,+,165
YIL002C,IX,350591,353431,-,2841
YIR030W-A,IX,412899,413282,+,384
YIL047C-A,IX,265099,265467,-,369
YIL156W,IX,48091,51306,+,3216
YIR012W,IX,378486,379781,+,1296
YIL112W,IX,151595,154846,+,3252
YIL025C,IX,308201,308575,-,375
YIL175W,IX,9183,9500,+,318
YIL100W,IX,177373,177726,+,354
YIR026C,IX,404873,405967,-,1095
YIR025W,IX,403659,404765,+,1107
YIR042C,IX,435273,435983,-,711
YIL075C,IX,217863,220700,-,2838
YIL068W-A,IX,233013,233396,+,384
YIL063C,IX,242761,243744,-,984
YIL018W,IX,316768,317932,+,1165
YIL027C,IX,303679,304104,-,426
YIL085C,IX,200490,202043,-,1554
snR68,IX,97111,97246,+,136
YIL008W,IX,342536,342835,+,300
YIL030W-A,IX,295565,295903,+,339
YIL076W,IX,216658,217548,+,891
YIR036W-A,IX,422635,423036,+,402
YIL029C,IX,300829,301257,-,429
YIR023W,IX,399777,402689,+,2913
tT(AGU)I1,IX,175031,175103,+,73
YIL053W,IX,255115,255867,+,753
YIL101C,IX,175307,177250,-,1944
YIL120W,IX,134417,136108,+,1692
YIL174W,IX,9469,9696,+,228
YIL032C,IX,291961,292317,-,357
YIL142C-A,IX,83208,83540,-,333
YIL164C,IX,34087,34686,-,600
YIL096C,IX,182117,183127,-,1011
YIL160C,IX,40191,41444,-,1254
YIL134C-A,IX,96522,96725,-,204
YIL062C,IX,243998,244462,-,465
YIL151C,IX,57338,60694,-,3357
YIL059C,IX,246550,246915,-,366
YIR030C,IX,412036,412770,-,735
YIL083C,IX,203556,204653,-,1098
YIL019W,IX,315093,316133,+,1041
YIL020C-A,IX,313713,314051,-,339
YIL099W,IX,178004,179653,+,1650
YIL093C,IX,187990,188784,-,795
YIR024C,IX,402841,403491,-,651
YIL135C,IX,95065,96375,-,1311
YIL020C,IX,314035,314820,-,786
YIL023C,IX,309386,310426,-,1041
YIL177W-A,IX,846,1328,+,483
YIL037C,IX,283029,284999,-,1971
YIL142W,IX,83302,84885,+,1584
YIR041W,IX,433929,434303,+,375
YIL034C,IX,289226,290089,-,864
YIL073C,IX,222937,225954,-,3018
YIL091C,IX,191030,193195,-,2166
YIL078W,IX,212499,214703,+,2205
YIL052C,IX,256226,257063,-,838
YIR017C,IX,383556,384119,-,564
YIL125W,IX,122689,125733,+,3045
YIL154C,IX,53981,55021,-,1041
PWR1,IX,395999,396939,+,941
YIL138C,IX,89230,89715,-,486
YIL130W,IX,102782,105676,+,2895
YIL071W-A,IX,228550,229026,+,477
YIL043C,IX,274072,274926,-,855
YIR013C,IX,380019,380384,-,366
YIL055C,IX,252042,253925,-,1884
YIL014C-A,IX,325212,325526,-,315
YIL049W,IX,260158,260919,+,762
YIL162W,IX,37385,38983,+,1599
YIL104C,IX,169982,171505,-,1524
YIL077C,IX,214991,215953,-,963
YIR032C,IX,415030,415617,-,588
YIL007C,IX,342994,343656,-,663
YIL021W,IX,312905,313861,+,957
YIR020C,IX,394255,394557,-,303
YIL038C,IX,280142,282652,-,2511
YIR011C,IX,377287,378246,-,960
YIL046W,IX,268651,270573,+,1923
YIL157C,IX,46949,47542,-,594
YIL171W-A,IX,18260,18712,+,453
YIL121W,IX,132244,133872,+,1629
YIL170W,IX,19847,21220,+,1374
YIR038C,IX,423809,424513,-,705
YIR027C,IX,406260,407642,-,1383
YIL088C,IX,197931,199403,-,1473
YIR028W,IX,408468,410375,+,1908
YIL001W,IX,353940,355481,+,1542
tK(CUU)I,IX,300228,300300,-,73
YIL173W,IX,11492,16141,+,4650
tE(UUC)I,IX,370417,370488,+,72
YIL177C,IX,483,6147,-,5665
YIL054W,IX,254543,254860,+,318
YIL148W,IX,68708,69528,+,821
YIR017W-A,IX,383566,384165,+,600
YIL145C,IX,76354,77283,-,930
YIR006C,IX,365466,369908,-,4443
YIL013C,IX,328207,332442,-,4236
YIL114C,IX,149143,149988,-,846
YIR035C,IX,421026,421790,-,765
YIR007W,IX,370704,372998,+,2295
YIL113W,IX,150559,151188,+,630
YIL036W,IX,285666,287429,+,1764
YIR010W,IX,375431,377161,+,1731
YIL033C,IX,290419,291669,-,1251
YIR009W,IX,374525,374860,+,336
YIL041W,IX,276525,277505,+,981
YIL087C,IX,199646,200119,-,474
ICR1,IX,393884,397082,-,3199
YIR036C,IX,422074,422865,-,792
YIL122W,IX,130610,131665,+,1056
tI(AAU)I2,IX,210665,210738,+,74
YIL021C-A,IX,313199,313468,-,270
YIL090W,IX,193595,195070,+,1476
YIL012W,IX,333011,333352,+,342
YIL024C,IX,308602,309171,-,570
YIL111W,IX,155311,155765,+,455
YIL095W,IX,183937,186369,+,2433
YIL029W-A,IX,299735,300106,+,372
YIL089W,IX,195599,196216,+,618
YIL166C,IX,30938,32566,-,1629
YIL060W,IX,246392,246826,+,435
tI(AAU)I1,IX,183440,183513,-,74
YIL009C-A,IX,335666,336212,-,547
YIL061C,IX,244657,245559,-,903
YIR040C,IX,433389,433721,-,333
YIL102C,IX,174582,174887,-,306
YIL069C,IX,231553,232369,-,817
YIR016W,IX,382628,383425,+,798
YIR021W,IX,397294,398385,+,1092
YIL172C,IX,16784,18553,-,1770
YIL072W,IX,226602,228419,+,1818
YIL058W,IX,246914,247198,+,285
YIL047C,IX,265115,267823,-,2709
YIL015W,IX,322342,324105,+,1764
YIR005W,IX,364889,365335,+,447
YIL116W,IX,142928,144085,+,1158
YIL003W,IX,349122,350003,+,882
YIL082W-A,IX,205635,210132,+,4498
YIL167W,IX,8292,8924,+,633
YIL168W,IX,7908,8291,+,384
YIR043C,IX,437046,437738,-,693
tD(GUC)Q,Mito,68322,68396,+,75
Q0065,Mito,13818,21935,+,8118
Q0080,Mito,27666,27812,+,147
Q0160,Mito,61022,61729,+,708
Q0070,Mito,13818,23167,+,9350
Q0142,Mito,51052,51228,+,177
Q0275,Mito,79213,80022,+,810
tR(ACG)Q2,Mito,69289,69362,+,74
tK(UUU)Q,Mito,67061,67134,+,74
Q0010,Mito,3952,4338,+,387
Q0255,Mito,74495,75984,+,1490
tN(GUU)Q,Mito,71433,71503,+,71
Q0020,Mito,6546,8194,+,1649
tE(UUC)Q,Mito,35373,35444,+,72
Q0140,Mito,48901,50097,+,1197
Q0075,Mito,24156,25255,+,1100
Q0250,Mito,73758,74513,+,756
Q0017,Mito,4254,4415,+,162
tC(GCA)Q,Mito,64415,64490,+,76
Q0144,Mito,54109,54438,+,330
tG(UCC)Q,Mito,67468,67542,+,75
Q0105,Mito,36540,43647,+,7108
tT(UGU)Q1,Mito,63862,63937,+,76
tM(CAU)Q2,Mito,85035,85112,+,78
Q0285,Mito,85295,85777,+,483
Q0143,Mito,51277,51429,+,153
Q0055,Mito,13818,18830,+,5013
Q0032,Mito,11667,11957,+,291
tY(GUA)Q,Mito,70824,70907,+,84
Q0115,Mito,36540,40265,+,3726
Q0297,Mito,85554,85709,+,156
Q0130,Mito,46723,46953,+,231
tL(UAA)Q,Mito,66095,66179,+,85
tF(GAA)Q,Mito,77431,77505,+,75
Q0092,Mito,30874,31014,+,141
tW(UCA)Q,Mito,9374,9447,+,74
tT(UAG)Q2,Mito,78089,78162,-,74
tS(UGA)Q2,Mito,48201,48290,+,90
Q0110,Mito,36540,38579,+,2040
Q0120,Mito,36540,42251,+,5712
tH(GUG)Q,Mito,64596,64670,+,75
Q0050,Mito,13818,16322,+,2505
tA(UGC)Q,Mito,69846,69921,+,76
Q0085,Mito,28487,29266,+,780
Q0182,Mito,65770,66174,+,405
tM(CAU)Q1,Mito,72630,72705,+,76
tS(GCU)Q1,Mito,69203,69288,+,86
tV(UAC)Q,Mito,78533,78608,+,76
tQ(UUG)Q,Mito,66210,66285,+,76
tR(UCU)Q1,Mito,67309,67381,+,73
Q0060,Mito,13818,19996,+,6179
Q0045,Mito,13818,26701,+,12884
tP(UGG)Q,Mito,731,802,+,72
tI(GAU)Q,Mito,70162,70237,+,76
Q0158,Mito,58009,62447,+,4439
YEL041W,V,75944,77431,+,1488
YER011W,V,175248,176012,+,765
YER158W-A,V,491487,491702,+,216
snR53,V,61699,61789,+,91
YER056C-A,V,269423,270185,-,763
YEL067C,V,26189,26776,-,588
YEL054C,V,52721,53218,-,498
YEL047C,V,65385,66797,-,1413
YER146W,V,462585,462866,+,282
YER159C,V,491530,491958,-,429
YER084W,V,327065,327451,+,387
YER183C,V,553334,553969,-,636
YEL009C-A,V,136371,136778,-,408
YEL059C-A,V,42400,42624,-,225
YER172C,V,529530,536021,-,6492
YER092W,V,342855,343232,+,378
YEL008C-A,V,140726,140818,-,93
YEL032W,V,86937,89852,+,2916
YEL010W,V,136279,136629,+,351
YEL040W,V,78053,79456,+,1404
YEL059W,V,42652,42960,+,309
YER105C,V,367838,372013,-,4176
YEL053C,V,53901,56102,-,2202
YEL046C,V,67629,68792,-,1164
YER137C,V,441373,441819,-,447
YER013W,V,178841,182278,+,3438
YER147C-A,V,465203,465613,-,411
YEL036C,V,83050,84552,-,1503
YER094C,V,348729,349346,-,618
YER038C,V,226858,228252,-,1395
YEL034W,V,85676,86149,+,474
YER144C,V,457806,460223,-,2418
YER069W,V,295410,298001,+,2592
YEL066W,V,26667,27206,+,540
YER161C,V,499347,500348,-,1002
YER131W,V,423952,424311,+,360
YER027C,V,208979,210232,-,1254
tH(GUG)E2,V,434541,434612,-,72
YER088C-A,V,335696,336019,-,324
YER002W,V,156803,157498,+,696
YEL062W,V,34407,36254,+,1848
YEL074W,V,6126,6464,+,339
YER142C,V,455146,456036,-,891
YER035W,V,222639,223076,+,438
YER145C,V,460526,461740,-,1215
YER176W,V,541690,545055,+,3366
YER071C,V,301947,302327,-,381
YER150W,V,468370,468816,+,447
YER177W,V,545611,546414,+,804
YER123W,V,404813,406387,+,1575
YEL018W,V,121471,122310,+,840
YER116C,V,395348,396172,-,825
YER043C,V,235770,237119,-,1350
YEL004W,V,146951,147979,+,1029
YER141W,V,453459,454919,+,1461
YER170W,V,525974,526651,+,678
YER047C,V,243810,246503,-,2694
YER132C,V,425188,430449,-,5262
YEL068C,V,25646,25978,-,333
YER080W,V,319963,321846,+,1884
YER052C,V,256375,257958,-,1584
YER070W,V,298950,301616,+,2667
YEL007W,V,141892,143892,+,2001
tE(UUC)E2,V,354934,355005,+,72
YER068C-A,V,295301,295732,-,432
YER115C,V,394292,394867,-,576
tS(AGA)E,V,86604,86685,+,82
YER076C,V,312590,313498,-,909
YEL021W,V,116167,116970,+,804
YEL026W,V,101943,102323,+,381
YER040W,V,229795,231987,+,2193
YEL016C,V,124737,126218,-,1482
YER012W,V,177835,178431,+,597
YER190W,V,571480,576525,+,5046
YER185W,V,559454,560365,+,912
YER189W,V,571155,571523,+,369
YEL060C,V,40046,41953,-,1908
YEL052W,V,56571,58100,+,1530
YER149C,V,466208,467470,-,1263
YER111C,V,382595,385876,-,3282
YER081W,V,322686,324095,+,1410
YER010C,V,172634,173338,-,705
YER018C,V,191959,192624,-,666
YEL076C,V,4464,5114,-,651
YEL018C-A,V,121455,121988,-,534
YER072W,V,302806,303195,+,390
YER093C,V,343320,347612,-,4293
YER178W,V,546817,548079,+,1263
YER030W,V,213437,213898,+,462
YER128W,V,415859,416470,+,612
YER003C,V,157736,159118,-,1383
YER163C,V,503084,503782,-,699
YEL005C,V,145907,146755,-,849
YER173W,V,536300,538279,+,1980
YEL065W,V,27657,29543,+,1887
YEL055C,V,48471,51539,-,3069
YER029C,V,212587,213177,-,591
YER089C,V,335946,337340,-,1395
YER179W,V,548421,549517,+,1097
YEL011W,V,133120,135234,+,2115
YER166W,V,512744,517459,+,4716
YER061C,V,278298,279626,-,1329
YER082C,V,324272,325936,-,1665
YER118C,V,397952,399055,-,1104
YER152C,V,472657,473988,-,1332
YER107C,V,373448,374545,-,1098
YER020W,V,195168,196517,+,1350
YER125W,V,410189,412618,+,2430
YER122C,V,402871,404352,-,1482
YER038W-A,V,228451,228831,+,381
YER057C,V,270737,271126,-,390
YEL033W,V,86179,86598,+,420
YER006W,V,162723,164285,+,1563
YER007W,V,164527,166083,+,1557
YER078W-A,V,318646,318810,+,165
tA(UGC)E,V,312023,312095,-,73
YEL002C,V,148722,150014,-,1293
YEL064C,V,29797,31239,-,1443
YER103W,V,364589,366517,+,1929
YER007C-A,V,166237,166885,-,649
snR80,V,52150,52320,-,171
YER093C-A,V,347912,348400,-,489
YER120W,V,401135,401869,+,735
YER033C,V,218057,221287,-,3231
YER054C,V,262052,263698,-,1647
tV(AAC)E2,V,469457,469530,+,74
YER164W,V,505392,509798,+,4407
YER139C,V,450563,451243,-,681
snR52,V,431129,431220,-,92
YEL042W,V,73771,75327,+,1557
YER190C-A,V,574804,575379,-,576
tS(UGA)E,V,288443,288524,-,82
YER008C,V,167808,171818,-,4011
YER114C,V,390590,393712,-,3123
YER034W,V,221846,222403,+,558
YEL008W,V,140512,140892,+,381
YER014W,V,182600,184219,+,1620
YER143W,V,456319,457605,+,1287
YER053C-A,V,260933,261046,-,114
YER028C,V,210692,211876,-,1185
YER048C,V,246982,248157,-,1176
YER044C,V,237570,238016,-,447
YEL039C,V,79636,79977,-,342
YER053C,V,258737,259639,-,903
tQ(UUG)E1,V,250286,250357,+,72
YEL034C-A,V,85613,86215,-,603
YER155C,V,476345,482848,-,6504
snR4,V,424698,424883,+,186
YER050C,V,253971,254387,-,417
YER031C,V,214076,214747,-,672
YER037W,V,225889,226854,+,966
YEL049W,V,63728,64090,+,363
tQ(UUG)E2,V,131082,131153,-,72
YEL006W,V,144327,145334,+,1008
YER100W,V,359562,360314,+,753
YER181C,V,551473,551796,-,324
YER015W,V,184541,186775,+,2235
YER129W,V,417281,420709,+,3429
YER172C-A,V,536275,536655,-,381
tR(UCU)E,V,138666,138737,+,72
YEL072W,V,13720,14415,+,696
YEL075C,V,5345,5713,-,369
YER048W-A,V,250718,251002,+,285
YER051W,V,254656,256134,+,1479
YER171W,V,527082,529418,+,2337
YER078C,V,316807,318342,-,1536
YER169W,V,523369,525759,+,2391
YEL003W,V,148176,148599,+,424
YEL077W-A,V,630,1112,+,483
YEL017C-A,V,122798,122929,-,132
YER133W,V,432495,433958,+,1464
YER152W-A,V,473485,474051,+,567
YER060W,V,274567,276153,+,1587
YER186C,V,561705,562625,-,921
YER188W,V,568040,568759,+,720
YEL045C,V,68840,69265,-,426
YER022W,V,198812,200875,+,2064
YER148W-A,V,466185,466763,+,579
YER157W,V,484788,487193,+,2406
YER014C-A,V,183731,184700,-,970
YEL076C-A,V,4185,5114,-,930
YEL038W,V,80462,81145,+,684
YER066W,V,290242,290799,+,558
YER098W,V,355466,357730,+,2265
YEL035C,V,85045,85545,-,501
RPR1,V,117667,118035,-,369
YER063W,V,281710,282366,+,657
YER127W,V,414481,415554,+,1074
YER154W,V,475020,476228,+,1209
YER032W,V,215063,217693,+,2631
YER180C-A,V,550865,551122,-,258
YEL071W,V,16355,17845,+,1491
tK(CUU)E2,V,435752,435824,-,73
YEL057C,V,45020,45721,-,702
YEL069C,V,21537,23231,-,1695
YEL043W,V,70478,73348,+,2871
YER096W,V,351698,353236,+,1539
YER017C,V,189503,191788,-,2286
YEL019C,V,120498,121301,-,804
YER009W,V,172115,172492,+,378
YER104W,V,366802,367428,+,627
YER067W,V,292066,292551,+,486
SCR1,V,441987,442508,+,522
YER044C-A,V,238460,239774,-,1315
YER101C,V,360502,361794,-,1293
YER121W,V,402375,402719,+,345
YER019C-A,V,194273,194539,-,267
tE(UUC)E1,V,177099,177170,+,72
YEL050C,V,59670,60851,-,1182
YER062C,V,279930,280682,-,753
YER006C-A,V,164344,164661,-,318
YER016W,V,188277,189311,+,1035
YEL025C,V,102581,106147,-,3567
YER024W,V,202192,204963,+,2772
YER023W,V,201076,201936,+,861
YER079W,V,318920,319552,+,633
YER136W,V,439616,440971,+,1356
YER151C,V,469686,472424,-,2739
YEL029C,V,96858,97796,-,939
YER065C,V,285241,286914,-,1674
YEL050W-A,V,59549,59740,+,192
YER085C,V,327619,328140,-,522
YER147C,V,462968,464842,-,1875
YER064C,V,282705,284222,-,1518
